system:index,baseline_year,city,delta_LST,delta_max_LST,delta_top10_LST,final_year,max_LST_2000,max_LST_2020,mean_LST_2000,mean_LST_2020,n_images_2000,n_images_2020,n_pixels,sensor_2000,sensor_2020,top10_LST_2000,top10_LST_2020,transition,transition_area_pct,transition_code,.geo,error
00000000000000000014_19,2000.0,Baghdad,2.145996492100096,3.5557657456505467,2.8479742422309755,2020.0,312.6504206886129,316.20618643426343,309.4534663925877,311.5994628846878,11.0,12.0,19690.0,L5,L8,312.5807064412674,315.4286806834984,wat→wat,1.7159146068864908,404.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
00000000000000000014_20,2000.0,Baghdad,6.104134961309057,6.510425238593712,5.55740420278255,2020.0,330.5747464533199,337.0851716919136,323.8043561803274,329.90849114163643,11.0,12.0,46350.0,L5,L8,330.22715755918045,335.784561761963,bare→bare,4.03924032652051,505.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
00000000000000000028_0,2000.0,Baku City,6.39824181503576,3.927835671589776,3.927835671589776,2020.0,320.3638361250921,324.2916717966819,312.10552155627283,318.5037633713086,25.0,29.0,3.0,L5,L8,320.3638361250921,324.2916717966819,imp→veg,1.8787542206213567e-05,102.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
00000000000000000028_1,2000.0,Baku City,6.381638890805789,3.354518571996607,3.354518571996607,2020.0,321.12974539434447,324.4842639663411,312.7162416965848,319.0978805873906,25.0,29.0,2.0,L5,L8,321.12974539434447,324.4842639663411,imp→bare,1.252502813747571e-05,105.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
00000000000000000028_2,2000.0,Baku City,4.513903338391287,2.913700469490493,2.913994956535703,2020.0,315.07558254763336,317.98928301712385,310.211047325042,314.7249506634333,25.0,29.0,312652.0,L5,L8,315.0751231406212,317.9891180971569,veg→imp,1.957987548619028,201.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
00000000000000000028_3,2000.0,Baku City,4.6622107929684375,3.570680847755341,3.502500272738928,2020.0,313.9971270101373,317.56780785789266,309.383834454814,314.04604524778244,25.0,29.0,18381.0,L5,L8,313.9949227269566,317.4974229996955,veg→crop,0.1151112710974705,203.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
00000000000000000028_4,2000.0,Baku City,-1.1032627080906536,-3.9764347422301967,-3.935967794695216,2020.0,314.9577565675073,310.9813218252771,308.72762686495304,307.6243641568624,25.0,29.0,5123.0,L5,L8,314.9149049975464,310.97893720285117,veg→wat,0.032082859574144,204.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
00000000000000000028_5,2000.0,Baku City,5.139231595169804,2.8656149101615824,2.7807023973770697,2020.0,318.089483460736,320.9550983708976,311.1480020835285,316.2872336786983,25.0,29.0,134026.0,L5,L8,318.074869781635,320.8555721790121,veg→bare,0.8393397105766599,205.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
00000000000000000028_6,2000.0,Baku City,6.0610389436471905,5.060692448982252,5.060692448982252,2020.0,310.58542576846605,315.6461182174483,307.1866087093934,313.2476476530406,25.0,29.0,6509.0,L5,L8,310.58542576846605,315.6461182174483,crop→imp,0.0407627040734147,301.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
00000000000000000028_7,2000.0,Baku City,6.707517510462708,5.256268742008842,5.2701252223487245,2020.0,312.59756249844634,317.8538312404552,308.08344301452075,314.79096052498346,25.0,29.0,5325.0,L5,L8,312.57911956536486,317.8492447877136,crop→veg,0.033347887416029,302.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
00000000000000000028_8,2000.0,Baku City,4.724853709794331,2.4596273129890847,2.4596273129890847,2020.0,310.2866263391682,312.7462536521573,304.05555478479175,308.7804084945861,25.0,29.0,35.0,L5,L8,310.2866263391682,312.7462536521573,crop→wat,0.00021918799240582497,304.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
00000000000000000028_9,2000.0,Baku City,2.6440572474828627,1.063297690249783,1.063297690249783,2020.0,313.70492933187967,314.76822702212945,308.7344194580062,311.37847670548905,25.0,29.0,181.0,L5,L8,313.70492933187967,314.76822702212945,crop→bare,0.0011335150464415,305.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
00000000000000000028_10,2000.0,Baku City,7.538124651423971,6.000289213842791,6.085075908016222,2020.0,306.799524364615,312.7998135784578,301.42884606066116,308.96697071208513,25.0,29.0,35717.0,L5,L8,306.6873375365086,312.77241344452483,wat→imp,0.2236782149931099,401.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
00000000000000000028_11,2000.0,Baku City,12.888966923217936,11.380943830657316,11.374767086432769,2020.0,304.90873021834796,316.28967404900527,300.22161165301566,313.1105785762336,25.0,29.0,47270.0,L5,L8,304.8758838114324,316.25065089786517,wat→veg,0.2960290400292384,402.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
00000000000000000028_12,2000.0,Baku City,8.275347263361084,6.8370831334773925,6.806508224351887,2020.0,307.4380979577249,314.2751810912023,301.99630463866686,310.27165190202794,25.0,29.0,442.0,L5,L8,307.4380979577249,314.2446061820768,wat→crop,0.0027680312183821,403.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
00000000000000000028_13,2000.0,Baku City,10.805026224994435,9.18267055907114,9.201111593051962,2020.0,305.98921335686384,315.171883915935,301.22695715647455,312.031983381469,25.0,29.0,34587.0,L5,L8,305.9566403655794,315.15775195863137,wat→bare,0.2166015740954362,405.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
00000000000000000028_14,2000.0,Baku City,5.40990783946819,3.152261887460213,3.1513217173525163,2020.0,315.05282784602537,318.2050897334856,308.8230536092066,314.2329614486748,25.0,29.0,11259.0,L5,L8,315.04246802868204,318.19378974603455,bare→imp,0.0705096458999195,501.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
00000000000000000028_15,2000.0,Baku City,6.999770213408567,4.442230098944833,4.416373035709967,2020.0,317.39585179540717,321.838081894352,310.2613726558688,317.26114286927736,25.0,29.0,46378.0,L5,L8,317.3951141435635,321.81148717927346,bare→veg,0.2904428774799242,502.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
