system:index,LC_class,LC_percent,city,max_LST,mean_LST,mean_top10_LST,n_images,sensor,year,.geo
00000000000000000006_4,5,0.001990903605668,Paris,301.4911908333355,300.19501676123974,301.4911908333355,9,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022_0,1,63.217646173358965,Prague,311.147769726285,303.85860252746784,311.147769726285,11,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022_1,2,16.20109516683939,Prague,305.8660389074906,299.09053503587916,305.8660389074906,11,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022_2,3,19.337308780871687,Prague,306.0921797546801,299.97595122203256,306.0921797546801,11,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022_3,4,1.21742275531838,Prague,303.09962158329756,297.4994044073231,303.09962158329756,11,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022_4,5,0.0265271236115903,Prague,306.50592780214697,300.8204853518331,306.50592780214697,11,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000060_0,1,99.74468239050547,Athens,315.86466259340295,313.80547435822433,315.86466259340295,7,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000060_1,2,0.2444218172785614,Athens,313.76172011261195,311.316774225326,313.76172011261195,7,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000060_2,3,0.0108957922159605,Athens,317.23774189574596,315.3833815096803,317.23774189574596,7,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000061_0,1,15.4027375830071,Brasília,301.55892955737414,301.18317943849854,301.55892955737414,10,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000061_1,2,67.98776422037568,Brasília,300.61717858421457,300.2119535016456,300.61717858421457,10,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000061_2,3,15.530011169183664,Brasília,308.7515493075528,307.322542449711,308.7515493075528,10,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000061_3,4,1.0792628578480263,Brasília,297.58668185325166,296.063636415904,297.58668185325166,10,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000061_4,5,0.00022416958552804752,Brasília,298.39947530302334,297.6063606461429,298.39947530302334,10,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000062_0,1,36.42876406107525,Dhaka,304.2785695099173,303.69577704596907,304.2785695099173,9,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000062_1,2,20.35505847061548,Dhaka,303.41028532560443,302.67169087638587,303.41028532560443,9,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000062_2,3,37.10271528733576,Dhaka,303.4274599778511,302.59040958300847,303.4274599778511,9,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000062_3,4,5.931328546235688,Dhaka,302.5482674887218,302.069738013753,302.5482674887218,9,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000062_4,5,0.1821336347378216,Dhaka,303.60495297869505,303.06927540604624,303.60495297869505,9,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021_0,1,54.90984428196239,Warsaw,313.4034234836778,306.72581199736555,313.35125258064005,11,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021_1,2,38.98031333592967,Warsaw,308.63925521234086,302.3506641218838,308.6006130888501,11,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021_2,3,3.787679902732811,Warsaw,310.05275225367666,303.5099667724518,310.03493801348384,11,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021_3,4,2.3218420674089137,Warsaw,304.3108390143081,298.26608335257555,304.3108390143081,11,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021_4,5,0.0003204119661882193,Warsaw,311.2542570729405,305.0215238460331,311.2542570729405,11,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000047_0,1,50.76828644860154,Nairobi,306.088612112477,304.4869707024772,306.088612112477,5,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000047_1,2,47.50719326732688,Nairobi,308.5896865672043,306.3448166356487,308.5896865672043,5,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000047_2,3,1.205829951079245,Nairobi,305.3460390790001,303.4185499178975,305.3460390790001,5,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000047_3,4,0.4569980063247639,Nairobi,299.35052492388013,298.4541980592334,299.35052492388013,5,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000047_4,5,0.0616923266675832,Nairobi,309.3307306898781,306.3924939412045,309.3307306898781,5,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018_0,1,26.827550350749117,Hà Nội,304.16456114963745,297.442743378414,304.16456114963745,13,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018_1,2,29.189956734527755,Hà Nội,300.92333971330737,294.45024976399196,300.92333971330737,13,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018_2,3,35.69344157928395,Hà Nội,303.1717323714409,296.3791955617184,303.1717323714409,13,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018_3,4,8.212932455677894,Hà Nội,301.00166700797683,295.19885211689467,301.00166700797683,13,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018_4,5,0.076118879761291,Hà Nội,301.61372909831726,296.79299711849734,301.61372909831726,13,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c_0,1,60.91315391936178,Tashkent,314.9742244626872,313.50830805354013,314.972782884912,15,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c_1,2,5.812179538626473,Tashkent,315.04544089279784,311.7687952368836,315.03936062105583,15,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c_2,3,32.51764865956381,Tashkent,315.85575100054916,311.76683185485484,315.8318285041617,15,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c_3,4,0.7181301458607953,Tashkent,308.7858790968755,303.3494714190986,308.7799405771812,15,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c_4,5,0.0388877365871455,Tashkent,317.22441345875365,315.6515380497605,317.22441345875365,15,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000040_0,1,64.81344008498482,Vienna,311.0563392625302,304.6332130500419,311.0550253592829,16,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000040_1,2,23.754084208750974,Vienna,304.2722980954022,298.3463800397144,304.2691042449119,16,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000040_2,3,8.551611428425254,Vienna,309.82631080289644,302.87355383606155,309.82486725602774,16,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000040_3,4,2.87825968586612,Vienna,300.96069878801535,296.5947521308303,300.9605481330428,16,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000040_4,5,0.0026045919728211,Vienna,303.7887584375446,298.87024277059106,303.7887584375446,16,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008_0,1,74.84855549930559,Berlin,315.65939221357075,308.72105292049577,315.65939221357075,21,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008_1,2,18.417454717217662,Berlin,309.43772639866177,302.4205629657416,309.43772639866177,21,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008_2,3,1.81303810787858,Berlin,314.63186997981967,308.2357439698463,314.63186997981967,21,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008_3,4,4.919473412411217,Berlin,303.107413052049,297.87565996002826,303.107413052049,21,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008_4,5,0.0014782631869391,Berlin,307.8994572976321,303.02219265533,307.8994572976321,21,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f_0,1,81.42719109562059,Seoul,308.6894751975907,307.70290998827005,308.6894751975907,6,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
