city,year,own_area_km2,ghsl_urban_centre_area_km2,area_ratio,perimeter_area_ratio,reliable
City of Medan,2005,283.91032213848814,345.01126525,0.8229015998441753,10.937715239307165,true
City of Medan,2010,283.91032213848814,356.90854175,0.7954707969341789,10.937715239307165,true
City of Medan,2015,283.91032213848814,372.77048775,0.7616223157904435,10.937715239307165,true
City of Medan,2020,283.91032213848814,372.77048775,0.7616223157904435,10.937715239307165,true
Denpasar,2000,149.88461546701143,200.38497375,0.747983307640658,6.050311858579374,true
Denpasar,2005,149.88461546701143,204.31418475,0.7335986762270622,6.050311858579374,true
Denpasar,2010,149.88461546701143,255.40283725,0.5868557181308738,6.050311858579374,true
Denpasar,2015,149.88461546701143,259.33223075,0.57796369943504,6.050311858579374,true
Denpasar,2020,149.88461546701143,259.33223075,0.57796369943504,6.050311858579374,true
Kathmandu Metropolitan City,2000,49.54706086376381,148.20688175,0.3343101229762147,6.175135952329177,true
Kathmandu Metropolitan City,2005,49.54706086376381,204.6652175,0.24208833073340275,6.175135952329177,true
Kathmandu Metropolitan City,2010,49.54706086376381,239.94629225,0.20649229625161591,6.175135952329177,true
Kathmandu Metropolitan City,2015,49.54706086376381,268.18057575,0.184752608294614,6.175135952329177,true
Kathmandu Metropolitan City,2020,49.54706086376381,282.28435475,0.17552180994105843,6.175135952329177,true
Lisbon,2000,86.81390617617181,295.9654505,0.29332446077577495,5.494062525310464,true
Lisbon,2005,86.81390617617181,352.0285285,0.2466104282686618,5.494062525310464,true
Lisbon,2010,86.81390617617181,352.0285285,0.2466104282686618,5.494062525310464,true
Lisbon,2015,86.81390617617181,373.82114025,0.23223380603385183,5.494062525310464,true
Lisbon,2020,86.81390617617181,373.82114025,0.23223380603385183,5.494062525310464,true
Brussels,2000,33.08398911382883,177.051366,0.18686096504801228,10.104930661817304,true
Brussels,2005,33.08398911382883,182.10573725,0.18167461175816868,10.104930661817304,true
Brussels,2010,33.08398911382883,184.63629525,0.17918464551637947,10.104930661817304,true
Brussels,2015,33.08398911382883,189.70318775,0.1743986988633449,10.104930661817304,true
Brussels,2020,33.08398911382883,189.70318775,0.1743986988633449,10.104930661817304,true
Adelaide,2000,1622.5731025293103,412.46638325,3.933831139750976,8.210290106612737,true
Adelaide,2005,1622.5731025293103,415.7421855,3.9028348796932715,8.210290106612737,true
Adelaide,2010,1622.5731025293103,419.01868925,3.872316782417385,8.210290106612737,true
Adelaide,2015,1622.5731025293103,419.01868925,3.872316782417385,8.210290106612737,true
Adelaide,2020,1622.5731025293103,419.01868925,3.872316782417385,8.210290106612737,true
Melbourne,2000,8817.740090899468,1116.378108,7.898524727161227,9.164587981493012,true
Melbourne,2005,8817.740090899468,1242.61544525,7.096113382950459,9.164587981493012,true
Melbourne,2010,8817.740090899468,1334.022208,6.609890028831864,9.164587981493012,true
Melbourne,2015,8817.740090899468,1378.1783615,6.398112419427555,9.164587981493012,true
